path_to_image,recipeName
food101Pictures/apple_pie/0_spiced_apple_lattice_pie_hostedLargeUrl.jpg,Spiced Apple Lattice Pie
food101Pictures/apple_pie/1_chai_apple_pie_hostedLargeUrl.jpg,Chai Apple Pie
food101Pictures/apple_pie/2_perfect_apple_pie_hostedLargeUrl.jpg,Perfect Apple Pie
food101Pictures/apple_pie/3_easy_homemade_apple_pie_hostedLargeUrl.jpg,Easy Homemade Apple Pie
food101Pictures/apple_pie/4_classic_apple_pie_hostedLargeUrl.jpg,Classic Apple Pie
food101Pictures/apple_pie/5_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/6_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/7_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/8_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/9_brown_bag_apple_pie_hostedLargeUrl.jpg,Brown Bag Apple Pie
food101Pictures/apple_pie/10_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/11_classic_apple_pie_hostedLargeUrl.jpg,Classic Apple Pie
food101Pictures/apple_pie/12_magically_fast_apple_pie_hostedLargeUrl.jpg,Magically Fast Apple Pie
food101Pictures/apple_pie/13_mug_apple_pie_hostedLargeUrl.jpg,Mug Apple Pie
food101Pictures/apple_pie/14_crustless_apple_pie_hostedLargeUrl.jpg,Crustless Apple Pie
food101Pictures/apple_pie/15_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/16_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/17_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/18_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/19_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/20_homemade_apple_pie_hostedLargeUrl.jpg,Homemade Apple Pie
food101Pictures/apple_pie/21_szarlotka_(polish_apple_pie)_hostedLargeUrl.jpg,Szarlotka (Polish Apple Pie)
food101Pictures/apple_pie/22_simple_apple_pie_hostedLargeUrl.jpg,Simple Apple Pie
food101Pictures/apple_pie/23_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/24_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/25_mom's_apple_pie_hostedLargeUrl.jpg,Mom's Apple Pie
food101Pictures/apple_pie/26_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/27_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/28_apple_pie_hostedLargeUrl.jpg,Apple Pie
food101Pictures/apple_pie/29_traditional_apple_pie_hostedLargeUrl.jpg,Traditional Apple Pie
